,sentences
4336,"['The', 'linkage', 'analysis', 'required', 'is', 'described', ',', 'and', 'the', 'need', 'to', 'check', 'DMD', 'families', 'for', 'informative', 'RFLPs', 'is', 'stressed']"
4337,"['Family', 'studies', 'in', ""Bechterew's"", 'syndrome', '(', 'ankylosing', 'spondylitis', ')', 'III.', 'Genetics.', 'The', 'results', 'of', 'segregation', 'analyses', 'in', '75', 'families', 'where', 'the', 'proband', 'had', 'ankylosing', 'spondylitis', ',', 'are', 'presented']"
4338,"['Of', 'the', '278', 'adult', ',', 'living', 'first', 'degree', 'relatives', ',', 'approximately', '85', '%', 'cooperated', 'in', 'the', 'study']"
4339,"['Clinical', 'and', 'radiographical', 'examinations', 'were', 'performed', 'and', 'HLA', 'typing', 'was', 'conducted']"
4340,"['The', 'results', 'were', 'in', 'agreement', 'with', 'our', 'hypothesis', 'that', 'ankylosing', 'spondylitis', 'is', 'part', 'of', 'a', 'syndrome', 'where', 'different', 'genetic', 'factors', 'interact']"
4341,"['Such', 'known', 'factors', 'are', 'HLA', 'B27', 'associated', 'disease', 'susceptibility', ',', 'susceptibility', 'to', 'psoriatic', 'arthropathy', 'and', 'susceptibility', 'to', 'entero-arthropathy']"
4342,"['Radiographical', 'sacro-iliitis', 'was', 'restricted', 'to', 'HLA', 'B27', 'positive', 'relatives', ',', 'and', 'was', 'more', 'frequently', 'found', 'in', 'relatives', 'to', 'probands', 'with', 'psoriasis', 'than', 'in', 'relatives', 'to', 'probands', 'without', 'psoriasis']"
4343,"['Environmental', 'factors', '(', 'intestinal', 'bacteria', ')', 'are', 'known', 'to', 'trigger', 'the', 'disease', 'at', 'least', 'in', 'some', 'persons', ',', 'and', 'we', 'have', 'postulated', 'that', 'all', 'or', 'most', 'of', 'them', 'have', 'the', 'predisposition', 'to', 'develop', 'disease']"
4344,"['Thus', ',', 'the', 'syndrome', 'has', 'a', 'multifactorial', 'etiology']"
4345,"['The', 'phenotypic', 'expressions', 'of', 'the', 'different', 'genetic', 'predispositions', 'involved', ',', 'include', 'sacro-iliitis', ',', 'psoriasis', ',', 'acute', 'anterior', 'uveitis', ',', 'peripheral', 'arthropathy', 'and', 'inflammatory', 'bowel', 'disease']"
4346,"['We', 'suggest', 'the', 'descriptive', 'name', 'HEREDITARY', 'MULTIFOCAL', 'RELAPSING', 'INFLAMMATION', '(', 'HEMRI', ')', 'for', 'this', 'syndrome']"
4347,"['Ankylosing', 'spondylitis', ',', 'psoriatic', 'arthropathy', 'and', 'entero-arthropathy', 'may', 'be', 'regarded', 'as', 'clinical', 'sub-types', 'of', 'the', 'syndrome']"
4348,[]
4349,"['Prader-Willi', 'syndrome', 'and', 'chromosome', '15.', 'A', 'clinical', 'discussion', 'of', '20', 'cases.', 'A', 'chromosome', '15', 'anomaly', 'was', 'observed', 'in', '12', 'of', '20', 'patients', ',', '17', 'of', 'whom', 'were', 'clinically', 'suspected', 'of', 'having', 'Prader-Willi', 'syndrome', '(', 'PWS', ')']"
4350,"['The', 'clinical', 'features', 'of', 'eight', 'cases', 'with', '15q11-12', 'deletion', 'were', 'very', 'similar', 'to', 'those', 'originally', 'described', 'in', 'PWS']"
4351,"['On', 'the', 'other', 'hand', ',', 'the', 'group', 'of', 'normal', 'karyotype', 'patients', 'is', 'heterogeneous', ',', 'and', 'their', 'features', 'do', 'not', 'strictly', 'correspond', 'to', 'the', 'clinical', 'definition', 'of', 'PWS']"
4352,"['However', ',', 'the', 'hypothesis', 'that', 'PWS', 'is', 'associated', 'with', 'deletion', 'of', '15q11-12', 'can', 'neither', 'explain', 'the', 'apparently', 'balanced', 'translocations', 'of', 'chromosome', '15', 'nor', 'account', 'for', 'the', 'small', 'supernumerary', 'metacentric', 'chromosomes', 'corresponding', 'to', 'an', 'isochromosome', '15', 'for', 'band', '15q11', 'observed', 'in', 'some', 'cases']"
4353,[]
4354,"['The', 'Tay-Sachs', 'disease', 'gene', 'in', 'North', 'American', 'Jewish', 'populations:', 'geographic', 'variations', 'and', 'origin.', 'From', 'data', 'collected', 'in', 'a', 'North', 'American', 'Tay-Sachs', 'disease', '(', 'TSD', ')', 'heterozygote', 'screening', 'program', ',', 'the', 'TSD', 'carrier', 'frequency', 'among', '46', ',', '304', 'Jewish', 'individuals', 'was', 'found', 'to', 'be']"
4355,"['0324', '(', '1', 'in', '31', 'individuals', ')']"
4356,"['This', 'frequency', 'is', 'consistent', 'with', 'earlier', 'estimates', 'based', 'on', 'TSD', 'incidence', 'data']"
4357,"['TSD', 'carrier', 'frequencies', 'were', 'then', 'examined', 'by', 'single', 'country', 'and', 'single', 'region', 'of', 'origin', 'in', '28', ',', '029', 'Jews', 'within', 'this', 'sample', 'for', 'whom', 'such', 'data', 'were', 'available', 'for', 'analysis']"
4358,"['Jews', 'with', 'Polish', 'and', '/', 'or', 'Russian', 'ancestry', 'constituted', '88', '%', 'of', 'this', 'sample', 'and', 'had', 'a', 'TSD', 'carrier', 'frequency', 'of']"
4359,['0327']
4360,"['No', 'TSD', 'carriers', 'were', 'observed', 'among', 'the', '166', 'Jews', 'of', 'Near', 'Eastern', 'origins']"
4361,"['Relative', 'to', 'Jews', 'of', 'Polish', 'and', 'Russian', 'origins', ',', 'there', 'was', 'at', 'least', 'a', 'twofold', 'increase', 'in', 'the', 'TSD', 'carrier', 'frequency', 'in', 'Jews', 'of', 'Austrian', ',', 'Hungarian', ',', 'and', 'Czechoslovakian', 'origins', '(', 'P', 'less', 'than']"
4362,"['005', ')']"
4363,"['These', 'findings', 'suggest', 'that', 'the', 'TSD', 'gene', 'proliferated', 'among', 'the', 'antecedents', 'of', 'modern', 'Ashkenazi', 'Jewry', 'after', 'the', 'Second', 'Diaspora', '(', '70', 'A']"
4364,['D']
4365,"[')', 'and', 'before', 'their', 'major', 'migrations', 'to', 'regions', 'of', 'Poland', 'and', 'Russia', '(', 'before', '1100', 'A']"
4366,['D']
4367,[')']
4368,"['Human', 'deficiency', 'of', 'the', 'sixth', 'component', 'of', 'complement', 'in', 'a', 'patient', 'with', 'meningococcal', 'meningitis', 'and', 'no', 'haemostasis', 'abnormality']"
4369,"['A', 'case', 'of', 'human', 'complete', 'C6', 'deficiency', 'is', 'reported']"
4370,"['The', 'patient', ',', 'a', '31', 'year', 'old', 'white', 'male', ',', 'was', 'seen', 'on', 'the', 'occasion', 'of', 'an', 'isolated', 'episode', 'of', 'meningococcal', 'meningitis']"
4371,"['Serum', 'complement', 'hemolytic', 'and', 'bactericidal', 'activities', 'were', 'lacking', 'and', 'could', 'be', 'restored', 'to', 'normal', 'by', 'addition', 'of', 'appropriate', 'amounts', 'of', 'purified', 'C6']"
4372,"['No', 'hemostatic', 'abnormalities', 'were', 'observed']"
4373,[]
4374,"['Absence', 'of', 'the', 'seventh', 'component', 'of', 'complement', 'in', 'a', 'patient', 'with', 'chronic', 'meningococcemia', 'presenting', 'as', 'vasculitis']"
4375,"['A', 'previously', 'healthy', '40-year-old', 'man', 'presenting', 'with', 'fever', ',', 'arthritis', ',', 'and', 'cutaneous', 'vasculitis', 'was', 'found', 'to', 'have', 'chronic', 'meningococcemia']"
4376,"['Evaluation', 'of', 'his', 'complement', 'system', 'showed', 'an', 'absence', 'of', 'functional', 'and', 'antigenic', 'C7', ',', 'compatible', 'with', 'a', 'complete', 'deficiency', 'of', 'the', 'seventh', 'component', 'of', 'complement']"
4377,"['Study', 'of', 'the', 'patients', 'family', 'spanning', 'four', 'generations', 'showed', 'heterozygous', 'deficiency', 'of', 'C7', 'in', 'five', 'members']"
4378,"['Chronic', 'neisserial', 'infection', 'can', 'be', 'associated', 'with', 'C7', 'deficiency', 'and', 'must', 'be', 'distinguished', 'from', 'other', 'causes', 'of', 'cutaneous', 'vasculitis']"
4379,[]
4380,"['Familial', 'discoid', 'lupus', 'erythematosus', 'associated', 'with', 'heterozygote', 'C2', 'deficiency']"
4381,"['Two', 'siblings', 'with', 'chronic', 'discoid', 'lupus', 'erythematosus', 'and', 'several', 'family', 'members', 'were', 'found', 'with', 'heterozygous', 'C2', 'deficiency']"
4382,"['An', 'association', 'with', 'histocompatibility', 'markers', 'HLA-B18', 'and', 'HLA-Dw2', 'was', 'demonstrated', ',', 'and', 'the', 'slow', 'allotype', 'of', 'factor', 'B', 'was', 'present']"
4383,"['Linkage', 'studies', 'in', 'this', 'family', 'suggested', 'a', 'close', 'linkage', 'between', 'the', 'C2', 'deficiency', 'gene', 'and', 'genes', 'coding', 'for', 'B18', ',', 'Dw2', ',', 'and', 'BfS', 'antigens']"
4384,"['One', 'HLA-ACB', '/', 'DBf', 'recombinant', 'was', 'observed', 'showing', 'closer', 'linkage', 'between', 'HLA-D', 'and', 'Bf', 'than', 'between', 'HLA-B', 'and', 'Bf']"
4385,[]
4386,"['Severe-glucose-6-phosphate', 'dehydrogenase', '(G6PD)', 'deficiency', 'associated', 'with', 'chronic', 'hemolytic', 'anemia', ',', 'granulocyte', 'dysfunction', ',', 'and', 'increased', 'susceptibility', 'to', 'infections:', 'description', 'of', 'a', 'new', 'molecular', 'variant', '(G6PD', 'Barcelona).', 'Molecular', ',', 'kinetic', ',', 'and', 'functional', 'studies', 'were', 'carried', 'out', 'on', 'erythrocytes', 'and', 'leukocytes', 'in', 'a', 'Spanish', 'male', 'with', 'G6PD', 'deficiency', ',', 'congenital', 'nonspherocytic', 'hemolytic', 'anemia', '(', 'CNSHA', ')', ',', 'and', 'increased', 'susceptibility', 'to', 'infections']"
4387,"['G6PD', 'activity', 'was', 'absent', 'in', 'patients', 'red', 'cells', 'and', 'was', 'about', '2', '%', 'of', 'normal', 'in', 'leukocytes']"
4388,"['Molecular', 'studies', 'using', 'standard', 'methods', '(', 'WHO', ',', '1967', ')', 'showed', 'G6PD', 'in', 'the', 'patient', 'to', 'have', 'a', 'slightly', 'fast', 'electrophoretic', 'mobility', 'at', 'pH', '8']"
4389,"['0', 'with', 'otherwise', 'normal', 'properties', '(', 'heat', 'stability', 'at', '46', 'degrees', 'C', ',', 'apparent', 'affinity', 'for', 'substrates', ',', 'optimum', 'pH', ',', 'and', 'utilization', 'of', 'substrate', 'analogues', ')']"
4390,"['Other', 'tests', 'showed', 'the', 'patients', 'granulocytes', 'to', 'engulf', 'latex', 'particles', 'normally', ',', 'but', 'to', 'have', 'impaired', 'reduction', 'of', 'nitroblue', 'tetrazolium', 'and', 'ferricytochrome-c', 'as', 'well', 'as', 'reduced', 'iodination']"
4391,"['Chemotaxis', 'and', 'random', 'migration', 'of', 'the', 'patients', 'granulocytes', 'were', 'normal', 'as', 'were', 'myeloperoxidase', ',', 'leukocyte', 'alkaline', 'phosphatase', '(', 'LAP', ')', ',', 'and', 'ultrastructural', 'features']"
4392,"['The', 'molecular', 'characteristics', 'of', 'G6PD', 'in', 'the', 'patient', 'differed', 'from', 'those', 'of', 'all', 'previously', 'reported', 'variants', 'associated', 'with', 'CNSHA', ',', 'so', 'the', 'present', 'variant', 'was', 'provisionally', 'called', 'G6PD', 'Barcelona', 'to', 'distinguish', 'it', 'from', 'other', 'G6PD', 'variants', 'previously', 'described']"
4393,"['Possible', 'mechanisms', 'for', 'the', 'severe', 'deficiency', 'of', 'G6PD', 'in', 'erythrocytes', 'and', 'granulocytes', 'was', 'investigated', 'by', 'studies', 'on', 'the', 'immunologic', 'specific', 'activity', 'of', 'the', 'mutant', 'enzyme']"
4394,"['Glucose-6-phosphate', 'dehydrogenase', 'deficiency', 'in', 'Papua', 'New', 'Guinea.', 'The', 'description', 'of', '13', 'new', 'variants.', 'A', 'total', 'of', '362', 'males', 'from', 'various', 'regions', 'of', 'Papua', 'New', 'Guinea', 'were', 'screened', 'for', 'red', 'cell', 'glucose-6-phosphate', 'dehydrogenase', '(', 'G6PD', ')', 'activity']"
4395,"['Twenty-six', 'G6PD', 'deficient', 'individuals', 'were', 'identified']"
4396,"['Biochemical', 'characterization', 'of', 'G6PD', 'purified', 'from', 'these', 'subjects', 'has', 'revealed', '13', 'new', 'variants', 'and', 'several', 'copies', 'of', 'previously', 'described', 'forms', 'of', 'G6PD']"
4397,"['This', 'study', 'illustrates', 'the', 'extreme', 'heterogeneity', 'of', 'G6PD', 'deficiency', 'among', 'the', 'people', 'of', 'Papua', 'New', 'Guinea']"
4398,[]
4399,"['Heterogeneity', 'of', '""Mediterranean', 'type""', 'glucose-6-phosphate', 'dehydrogenase', '(G6PD)', 'deficiency', 'in', 'Spain', 'and', 'description', 'of', 'two', 'new', 'variants', 'associated', 'with', 'favism']"
4400,"['Glucose-6-phosphate', 'dehydrogenase', '(', 'G6PD', ')', ';', 'EC', '1']"
4401,['1']
4402,['1']
4403,"['49', 'from', 'thirty-six', 'unrelated', 'Spanish', 'males', 'was', 'partially', 'purified', 'from', 'blood', ',', 'and', 'the', 'variants', 'were', 'characterized', 'biochemically', 'and', 'electrophoretically', 'according', 'to', 'the', 'methods', 'recommended', 'by', 'the', 'world', 'Health', 'Organization']"
4404,"['Subjects', 'were', 'from', 'multiple', 'geographic', 'regions', 'within', 'Spain', ',', 'and', 'all', 'suffered', 'from', 'hemolytic', 'anemia', ',', 'either', 'acute', '(', '34', 'cases', ')', 'or', 'chronic', 'nonspherocytic', '(', '2', 'cases', ')']"
4405,"['Almost', 'all', 'the', 'variants', 'studied', 'presented', 'residual', 'erythrocyte', 'G6PD', 'activity', 'ranging', 'from', '0', 'to', '10', '%', 'of', 'normal', ',', 'and', 'five', 'different', 'mutants', 'were', 'responsible', 'for', 'the', 'deficient', 'phenotype']"
4406,"['Three', 'variants', 'were', 'similar', 'to', 'others', 'previously', 'described', 'G6PD', 'Mediterranean', '(', '11', 'cases', ')', ',', 'G6PD', 'Athens-like', '(', '3', 'cases', ')', ',', 'and', 'G6PD', 'Union', '(', '2', 'cases', ')']"
4407,"['The', 'remaining', 'variants', 'were', 'different', 'from', 'the', 'numerous', 'variants', 'already', 'reported', 'and', 'have', 'been', 'considered', 'as', 'new', 'mutants']"
4408,"['Provisionally', 'they', 'are', 'called', 'G6PD', 'Betica', '(', '19', 'cases', ')', 'and', 'G6PD', 'Menorca', '(', '1', 'case', ')']"
4409,"['The', 'present', 'study', 'constitutes', 'the', 'first', 'attempt', 'to', 'characterize', 'the', 'deficient', 'G6PD', 'variants', 'found', 'in', 'Spain', 'and', 'supplies', 'new', 'data', 'on', 'the', 'relationship', 'between', 'molecular', 'characteristics', 'of', 'deficient', 'variants', 'and', 'their', 'clinical', 'manifestations']"
4410,"['The', 'most', 'important', 'findings', 'can', 'be', 'summarized', 'as', 'follows', '(', '1', ')', 'The', 'Spanish', 'population', 'is', 'characterized', 'by', 'an', 'important', 'heterogeneity', 'in', 'G6PD', 'deficiency']"
4411,"['(', '2', ')', 'Although', 'G6PD', 'Mediterranean', 'is', 'very', 'frequent', ',', 'it', 'presents', 'a', 'relatively', 'high', 'degree', 'of', 'polymorphism']"
4412,"['(', '3', ')', 'Favism', 'has', 'been', 'observed', 'associated', 'with', 'all', 'kinds', 'of', 'variants', 'described', 'here']"
4413,"['(', '4', ')', 'G6PD', 'Betica', ',', 'which', 'is', 'the', 'most', 'frequent', 'variant', 'found', 'in', 'subjects', 'of', 'Southern', 'Spanish', 'origin', ',', 'has', 'been', 'observed', 'associated', 'with', 'favism', 'in', 'all', 'cases', 'except', 'one']"
4414,"['A', 'new', 'glucose-6-phosphate', 'dehydrogenase', 'variant', '(G6PD', 'Nagano)', 'associated', 'with', 'congenital', 'hemolytic', 'anemia']"
4415,"['A', 'new', 'glucose-6-phosphate', 'dehydrogenase', '(', 'G6PD', ')', 'variant', 'associated', 'with', 'chronic', 'nonspherocytic', 'hemolytic', 'anemia', 'was', 'reported']"
4416,"['The', 'patient', ',', 'a', '6-year-old', 'Japanese', 'male', ',', 'was', 'noticed', 'to', 'have', 'hemolytic', 'anemia', 'soon', 'after', 'birth', ',', 'and', 'a', 'diagnosis', 'of', 'G6PD', 'deficiency', 'was', 'made', 'at', 'the', 'age', 'of', '2']"
4417,"['He', 'had', 'episodes', 'of', 'hemolytic', 'crisis', 'several', 'times', 'after', 'upper', 'respiratory', 'infection']"
4418,"['G6PD', 'activity', 'of', 'the', 'patient', 'was', '5']"
4419,"['5', '%', 'of', 'normal']"
4420,"['The', 'enzymatic', 'characteristics', 'were', 'examined', 'when', 'he', 'was', '5', 'years', 'old', ',', 'and', 'his', 'G6PD', 'showed', 'faster-than-normal', 'electrophoretic', 'mobility', ',', 'low', 'Km', 'G6P', ',', 'high', 'Km', 'NADP', ',', 'low', 'Ki', 'NADPH', ',', 'normal', 'utilization', 'of', 'substrate', 'analogues', ',', 'heat', 'instability', ',', 'and', 'a', 'normal', 'pH', 'optimum', 'curve']"
4421,"['From', 'these', 'results', ',', 'this', 'was', 'considered', 'to', 'be', 'a', 'new', 'variant', 'and', 'was', 'designated', 'G6PD', 'Nagano']"
4422,"['Infection-induced', 'hemolysis', 'and', 'chronic', 'hemolytic', 'anemia', 'seem', 'to', 'be', 'due', 'to', 'markedly', 'impaired', 'enzyme', 'activity', 'and', 'thermal', 'instability']"
4423,"['Heterozygous', 'C2-deficiency', 'and', 'myasthenia', 'gravis']"
4424,"['Complement', 'deficiency', 'states', 'in', 'myasthenia', 'gravis', '(', 'MG', ')', 'have', 'not', 'been', 'reported', 'previously']"
4425,"['We', 'describe', 'a', '19-year-old', 'woman', 'with', 'typical', 'MG', 'and', 'heterozygous', 'C2', 'deficiency', ',', 'along', 'with', 'HLA', 'typing', 'of', 'the', 'patient', 'and', 'her', 'immediate', 'family']"
4426,[]
4427,"['Adrenoleukodystrophy', ':', 'increased', 'plasma', 'content', 'of', 'saturated', 'very', 'long', 'chain', 'fatty', 'acids.', 'With', 'a', 'new', 'method', 'we', 'measured', 'the', 'saturated', 'very', 'long', 'chain', 'fatty', 'acids', 'in', 'the', 'plasma', 'of', 'adrenoleukodystrophy', '(', 'ALD', ')', 'hemizygotes', ',', 'ALD', 'heterozygotes', ',', 'and', 'controls']"
4428,"['ALD', 'hemizygotes', 'showed', 'increased', 'levels', 'of', 'hexacosanoate', '(', 'C26', 'fatty', 'acid', ')', 'which', 'represented', '0']"
4429,"['081', '+', '/', '-', '0']"
4430,"['0066', '%', '(', 'SEM', ')', 'of', 'total', 'fatty', 'acids', ',', 'compared', 'to', '0']"
4431,"['015', '+', '/', '-', '0']"
4432,"['0032', '%', 'in', 'the', 'controls']"
4433,"['C25', ',', 'C24', ',', 'and', 'C23', 'fatty', 'acids', 'were', 'also', 'increased', ',', 'but', 'the', 'C22', 'and', 'C20', 'fatty', 'acids', 'were', 'normal']"
4434,"['C26', 'levels', 'were', 'also', 'increased', 'in', 'most', 'ALD', 'heterozygotes', ',', 'with', 'a', 'mean', 'level', '0']"
4435,"['057', '+', '/', '-', '0']"
4436,"['0063', '%', 'of', 'total', 'fatty', 'acids']"
4437,"['The', 'technique', 'can', 'be', 'used', 'for', 'diagnosis', 'and', 'carrier', 'identification', ',', 'and', 'in', 'the', 'evaluation', 'of', 'therapy']"
4438,"['Abnormal', 'high', 'density', 'lipoproteins', 'in', 'cerebrotendinous', 'xanthomatosis']"
4439,"['The', 'plasma', 'lipoprotein', 'profiles', 'and', 'high', 'density', 'lipoproteins', '(', 'HDL', ')', 'were', 'characterized', 'in', 'patients', 'with', 'the', 'genetic', 'disease', 'cerebrotendinous', 'xanthomatosis', '(', 'CTX', ')']"
4440,"['Abnormalities', 'in', 'the', 'HDL', 'may', 'contribute', 'to', 'their', 'increased', 'atherogenesis', 'and', 'excessive', 'deposits', 'of', 'tissue', 'sterols', 'in', 'the', 'presence', 'of', 'low', 'or', 'low-normal', 'concentrations', 'of', 'plasma', 'cholesterol', '(', '165', '+', '/', '-', '25', 'mg', '/', 'dl', ')', 'and', 'low', 'density', 'lipoproteins', '(', 'LDL', ')']"
4441,"['The', 'mean', 'HDL-cholesterol', 'concentration', 'in', 'the', 'CTX', 'plasmas', 'was', '14']"
4442,"['5', '+', '/', '-', '3']"
4443,"['2', 'mg', '/', 'dl', ',', 'about', 'one-third', 'the', 'normal', 'value']"
4444,"['The', 'low', 'HDL-cholesterol', 'reflects', 'a', 'low', 'concentration', 'and', 'an', 'abnormal', 'lipid', 'composition', 'of', 'the', 'plasma', 'HDL']"
4445,"['Relative', 'to', 'normal', 'HDL', ',', 'the', 'cholesteryl', 'esters', 'are', 'low', ',', 'free', 'cholesterol', 'and', 'phospholipids', 'essentially', 'normal', ',', 'and', 'triglycerides', 'increased']"
4446,"['The', 'ratio', 'of', 'apoprotein', '(', 'apo', ')', 'to', 'total', 'cholesterol', 'in', 'the', 'HDL', 'of', 'CTX', 'was', 'two', 'to', 'three', 'times', 'greater', 'than', 'normal']"
4447,"['In', 'the', 'CTX', 'HDL', ',', 'the', 'ratio', 'of', 'apoAI', 'to', 'apoAII', 'was', 'high', ',', 'the', 'proportion', 'of', 'apoC', 'low', ',', 'and', 'a', 'normally', 'minor', 'form', 'of', 'apoAI', 'increased', 'relative', 'to', 'other', 'forms']"
4448,"['The', 'HDL', 'in', 'electron', 'micrographs', 'appeared', 'normal', 'morphologically', 'and', 'in', 'particle', 'size']"
4449,"['The', 'abnormalities', 'in', 'lipoprotein', 'distribution', 'profile', 'and', 'composition', 'of', 'the', 'plasma', 'HDL', 'result', 'from', 'metabolic', 'defects', 'that', 'are', 'not', 'understood', 'but', 'may', 'be', 'linked', 'to', 'the', 'genetic', 'defect', 'in', 'bile', 'acid', 'synthesis', 'in', 'CTX']"
4450,"['As', 'a', 'consequence', ',', 'it', 'is', 'probable', 'that', 'the', 'normal', 'functions', 'of', 'the', 'HDL', ',', 'possibly', 'including', 'modulation', 'of', 'LDL-cholesterol', 'uptake', 'and', 'the', 'removal', 'of', 'excess', 'cholesterol', 'from', 'peripheral', 'tissues', ',', 'are', 'perturbed', 'significantly', 'in', 'this', 'disease']"
4451,"['Genetics', 'of', 'cerebrotendinous', 'xanthomatosis', '(', 'CTX', '):', 'an', 'autosomal', 'recessive', 'trait', 'with', 'high', 'gene', 'frequency', 'in', 'Sephardim', 'of', 'Moroccan', 'origin.', 'We', 'described', '6', 'patients', '(', 'from', '3', 'families', ')', 'affected', 'with', 'cerebrotendinous', 'xanthomatosis', '(', 'CTX', ')']"
4452,"['All', 'are', 'Sephardic', 'Jews', 'of', 'Moroccan', 'extraction']"
4453,"['In', 'view', 'of', 'the', 'small', 'number', 'of', 'CTX', 'patients', 'diagnosed', 'in', 'the', 'world', '(', 'a', 'total', 'of', '50', 'including', 'our', '6', 'patients', ')', ',', 'we', 'are', 'probably', 'dealing', 'with', 'an', 'ethnic', 'subgroup', 'with', 'a', 'high', 'CTX', 'gene', 'frequency', ',', 'which', 'we', 'have', 'estimated', 'to', 'be', '1', '/', '108']"
4454,"['Since', 'there', 'are', 'differences', 'in', 'expression', 'in', 'this', 'disease', ',', 'we', 'recommend', 'cholestanol', 'study', 'in', 'cases', 'of', 'undiagnosed', 'cataract', 'or', 'tendinous', 'xanthomas', 'in', 'childhood', 'or', 'early', 'adolescence']"
4455,"['The', 'diagnosis', 'in', 'CTX', 'is', 'important', 'not', 'only', 'for', 'genetic', 'counseling', ',', 'but', 'also', 'in', 'veiw', 'of', 'possible', 'treatment']"
4456,[]
4457,"['New', 'genetic', 'variants', 'of', 'glucose', '6-phosphate', 'dehydrogenase', '(G6PD)', 'in', 'Italy.', 'Six', 'new', 'variants', 'of', 'human', 'erythrocyte', 'G6PD', 'have', 'been', 'characterized']"
4458,"['All', 'of', 'them', 'were', 'found', 'in', 'Italian', 'males', 'and', 'all', 'were', 'associated', 'with', 'enzyme', 'deficiency', ',', 'but', 'only', 'two', 'with', 'signs', 'of', 'haemolysis']"
4459,"['These', 'and', 'other', 'variants', 'reported', 'in', 'the', 'literature', ',', 'which', 'must', 'thus', 'far', 'be', 'regarded', 'as', 'sporadic', ',', 'are', 'found', 'to', 'map', 'in', 'parts', 'of', 'Italy', 'where', 'common', 'types', 'of', 'G6PD', 'deficiency', 'are', 'also', 'prevalent']"
4460,[]
4461,"['Variants', 'of', 'erythrocyte', 'glucose-6-phosphate', 'dehydrogenase', '(G6PD)', 'in', 'Bulgarian', 'populations.', 'Ten', 'variants', 'of', 'erythrocyte', 'glucose-6-phosphate', 'dehydrogenase', 'were', 'identified', 'in', '22', 'patients', 'with', 'G6PD', 'deficiency', 'from', 'three', 'districts', 'of', 'Bulgaria']"
4462,"['Corinth-like', 'and', 'Fayoum-like', 'variants', 'were', 'the', 'most', 'frequent', ';', 'Mediterranean', ',', 'Ohut', 'II', ',', 'Kilgore', ',', 'Boston', ',', 'Poznan', ',', 'and', 'Panay', 'variants', 'and', 'two', 'new', 'variants', ',', 'Petrich', 'and', 'Gotze', 'Delchev', ',', 'were', 'each', 'found', 'in', 'one', 'or', 'two', 'carriers']"
4463,"['No', 'correlation', 'was', 'revealed', 'between', 'clinical', 'and', 'biochemical', 'polymorphism']"
4464,[]
4465,"['Nephropathy', 'in', 'the', 'Wiskott-Aldrich', 'syndrome']"
4466,"['Nephropathy', 'was', 'detected', 'in', 'five', 'of', '32', 'patients', 'with', 'the', 'Wiskott-Aldrich', 'syndrome', 'who', 'were', 'participating', 'in', 'a', 'study', 'of', 'transfer', 'factor', '(', 'TF', ')', 'therapy']"
4467,"['In', 'two', 'patients', ',', 'nephropathy', 'was', 'present', 'before', 'TF', 'and', 'did', 'not', 'appear', 'changed', 'by', 'TF', 'therapy']"
4468,"['One', 'of', 'these', 'patients', 'subsequently', 'developed', 'progressive', 'renal', 'failure', 'requiring', 'dialysis', 'beginning', '5', '1', '/', '2', 'years', 'after', 'TF', 'therapy']"
4469,"['In', 'two', 'patients', ',', 'decreased', 'renal', 'function', 'appeared', 'very', 'soon', 'after', 'the', 'administration', 'of', 'TF']"
4470,"['One', 'patient', 'showed', 'gradually', 'decreasing', 'renal', 'function', 'beginning', 'after', 'two', 'years', 'of', 'TF', 'therapy']"
4471,"['An', 'additional', 'patient', 'was', 'identified', 'who', 'died', 'with', 'renal', 'failure', 'without', 'having', 'received', 'TF']"
4472,"['The', 'results', 'suggest', 'that', 'renal', 'failure', 'occurs', 'in', 'the', 'Wiskott-Aldrich', 'syndrome', 'more', 'frequently', 'than', 'generally', 'recognized', 'and', 'that', 'administration', 'of', 'TF', 'may', 'precipitate', 'or', 'accelerate', 'the', 'renal', 'disease', 'in', 'patients', 'with', 'this', 'syndrome']"
4473,[]
4474,"['Wiskott-Aldrich', 'syndrome', ':', 'cellular', 'impairments', 'and', 'their', 'implication', 'for', 'carrier', 'detection.', 'A', 'family', 'in', 'which', 'two', 'male', 'siblings', 'were', 'affected', 'with', 'Wiskott-Aldrich', 'syndrome', '(', 'WAS', ')', 'was', 'studied', 'using', 'G-6-PD', 'isoenzymes', 'as', 'an', 'X-linked', 'marker', 'in', 'order', 'to', 'investigate', 'the', 'nature', 'of', 'cellular', 'abnormalities']"
4475,"['Isolated', 'peripheral', 'blood', 'cell', 'types', 'from', 'the', 'doubly', 'heterozygous', 'mother', 'of', 'the', 'affected', 'males', 'seemingly', 'failed', 'to', 'express', 'the', 'G-6-PD', 'allele', 'in', 'cis', 'position', 'with', 'the', 'WAS', 'allele', 'while', 'her', 'cultured', 'skin', 'fibroblasts', 'expressed', 'both', 'G-6-PD', 'alleles']"
4476,"['Additionally', ',', 'a', 'histogram', 'analysis', 'of', 'platelet', 'size', 'revealed', 'a', 'single', 'population', 'of', 'abnormally', 'small', 'platelets', 'in', 'the', 'affected', 'propositus', ',', 'whereas', 'the', 'heterozygous', 'mother', 'had', 'no', 'appreciable', 'small', 'platelet', 'subpopulation']"
